"Color","Red_left","Green_left","Blue_left","Alpha_left","Red_right","Green_right","Blue_right","Alpha_right"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","103","275","330","411","96","279"
"Yellow","324","398","103","275","330","411","96","279"
"Yellow","324","398","103","275","330","411","96","279"
"Yellow","324","398","103","275","330","411","96","279"
"Yellow","324","398","103","275","330","411","96","279"
"Yellow","324","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","330","411","96","279"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","397","102","274","331","412","97","280"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","97","280"
"Yellow","323","398","102","274","331","412","97","280"
"Yellow","323","398","102","274","331","412","97","280"
"Yellow","323","398","102","274","331","412","97","280"
"Yellow","323","398","102","274","331","412","97","280"
"Yellow","323","398","102","274","330","411","96","279"
"Yellow","323","398","102","274","330","411","96","279"
